"6077	2010-04-26","08:48:21	1	0	1	0"
"6077	2010-04-26","08:48:23	1	0	1	0"
"9109	2010-04-26","08:53:57	1	0	1	0"
"7086	2010-04-26","08:57:19	1	0	1	0"
"9105	2010-04-26","08:57:24	1	0	1	0"
"6068	2010-04-26","10:00:10	1	0	1	0"
"21	2010-04-26","10:00:26	1	0	1	0"
"20	2010-04-26","10:04:51	1	0	1	0"
"8102	2010-04-26","11:03:18	1	0	1	0"
"9016	2010-04-26","11:08:58	1	0	1	0"
"9016	2010-04-26","12:01:19	1	3	1	0"
"9112	2010-04-26","12:04:27	1	2	1	0"
"8094	2010-04-26","12:08:57	1	0	1	0"
"8094	2010-04-26","12:09:13	1	2	1	0"
"6082	2010-04-26","12:09:20	1	0	1	0"
"6082	2010-04-26","12:09:28	1	2	1	0"
"2052	2010-04-26","12:09:45	1	2	1	0"
"6081	2010-04-26","12:20:13	1	2	1	0"
"2052	2010-04-26","12:22:32	1	3	1	0"
"9112	2010-04-26","12:45:12	1	3	1	0"
"2052	2010-04-26","13:04:59	1	1	1	0"
"6082	2010-04-26","13:07:50	1	0	1	0"
"6081	2010-04-26","13:09:18	1	3	1	0"
"9112	2010-04-26","14:32:44	1	1	1	0"
"8098	2010-04-26","14:32:50	1	1	1	0"
"9110	2010-04-26","17:40:01	1	0	1	0"
"9016	2010-04-26","17:40:15	1	1	1	0"
"9104	2010-04-26","17:56:12	1	0	1	0"
"9109	2010-04-26","17:56:29	1	1	1	0"
"9104	2010-04-26","17:56:50	1	1	1	0"
"7086	2010-04-26","18:03:11	1	1	1	0"
"21	2010-04-26","18:06:40	1	1	1	0"
"6083	2010-04-26","18:06:53	1	1	1	0"
"6082	2010-04-26","18:07:26	1	1	1	0"
"8094	2010-04-26","18:07:33	1	1	1	0"
"9105	2010-04-26","18:07:43	1	1	1	0"
"9106	2010-04-26","18:16:28	1	0	1	0"
"9111	2010-04-26","18:22:46	1	1	1	0"
"5067	2010-04-26","18:45:24	1	0	1	0"
"6081	2010-04-26","19:07:46	1	1	1	0"
"20	2010-04-26","19:14:57	1	0	1	0"
"27	2010-04-26","19:39:42	1	0	1	0"
"6068	2010-04-26","19:41:37	1	1	1	0"
"8102	2010-04-26","20:05:21	1	1	1	0"
"9016	2010-04-27","08:08:13	1	0	1	0"
"9104	2010-04-27","08:14:26	1	0	1	0"
"6071	2010-04-27","08:18:36	1	0	1	0"
"6083	2010-04-27","08:29:37	1	0	1	0"
"8094	2010-04-27","08:29:43	1	0	1	0"
"29	2010-04-27","08:30:10	1	0	1	0"
"9111	2010-04-27","08:41:18	1	0	1	0"
"6081	2010-04-27","08:42:36	1	0	1	0"
"6077	2010-04-27","08:43:04	1	0	1	0"
"9109	2010-04-27","08:47:05	1	0	1	0"
"2052	2010-04-27","08:54:17	1	0	1	0"
"20	2010-04-27","08:55:52	1	0	1	0"
"6082	2010-04-27","08:56:04	1	0	1	0"
"27	2010-04-27","08:56:11	1	0	1	0"
"8098	2010-04-27","08:56:15	1	0	1	0"
"8101	2010-04-27","08:56:21	1	0	1	0"
"9105	2010-04-27","08:56:55	1	0	1	0"
"9106	2010-04-27","08:57:28	1	0	1	0"
"9014	2010-04-27","08:57:48	1	0	1	0"
"5067	2010-04-27","08:58:32	1	0	1	0"
"9103	2010-04-27","09:02:12	1	0	1	0"
"21	2010-04-27","09:12:57	1	0	1	0"
"6068	2010-04-27","10:04:21	1	0	1	0"
"8102	2010-04-27","10:29:04	1	0	1	0"
"9016	2010-04-27","11:27:42	1	2	1	0"
"9016	2010-04-27","11:54:59	1	3	1	0"
"2052	2010-04-27","12:10:40	1	2	1	0"
"8094	2010-04-27","12:18:36	1	2	1	0"
"20	2010-04-27","12:18:54	1	2	1	0"
"6083	2010-04-27","12:18:57	1	2	1	0"
"9111	2010-04-27","12:19:11	1	2	1	0"
"6082	2010-04-27","12:22:10	1	2	1	0"
"27	2010-04-27","12:22:48	1	2	1	0"
"8102	2010-04-27","12:22:55	1	0	1	0"
"8102	2010-04-27","12:23:05	1	2	1	0"
"6081	2010-04-27","12:23:13	1	0	1	0"
"2052	2010-04-27","12:37:25	1	0	1	0"
"6082	2010-04-27","12:45:59	1	3	1	0"
"8102	2010-04-27","12:46:14	1	3	1	0"
"9111	2010-04-27","12:46:28	1	3	1	0"
"20	2010-04-27","12:46:54	1	3	1	0"
"8094	2010-04-27","12:47:01	1	0	1	0"
"8094	2010-04-27","12:47:12	1	3	1	0"
"27	2010-04-27","12:47:21	1	3	1	0"
"6081	2010-04-27","12:52:38	1	3	1	0"
"2052	2010-04-27","12:57:16	1	1	1	0"
"5067	2010-04-27","13:21:50	1	0	1	0"
"9105	2010-04-27","13:21:58	1	1	1	0"
"9112	2010-04-27","15:28:14	1	0	1	0"
"6075	2010-04-27","15:47:13	1	0	1	0"
"6083	2010-04-27","15:47:30	1	1	1	0"
"6075	2010-04-27","15:48:19	1	0	0	0"
"9106	2010-04-27","16:45:09	1	2	1	0"
"9106	2010-04-27","17:06:50	1	3	1	0"
"8102	2010-04-27","17:09:05	1	2	1	0"
"8102	2010-04-27","17:32:41	1	3	1	0"
"6075	2010-04-27","17:35:08	1	0	1	0"
"6075	2010-04-27","17:35:32	1	1	1	0"
"6071	2010-04-27","17:36:21	1	0	1	0"
"9110	2010-04-27","17:36:44	1	1	1	0"
"9016	2010-04-27","17:38:34	1	1	1	0"
"9109	2010-04-27","17:58:55	1	1	1	0"
"9103	2010-04-27","17:59:06	1	1	1	0"
"9104	2010-04-27","17:59:41	1	1	1	0"
"9111	2010-04-27","17:59:55	1	0	1	0"
"29	2010-04-27","18:05:50	1	1	1	0"
"8098	2010-04-27","18:28:36	1	1	1	0"
"27	2010-04-27","18:28:47	1	1	1	0"
"8094	2010-04-27","18:28:51	1	1	1	0"
"6082	2010-04-27","18:28:59	1	1	1	0"
"8101	2010-04-27","18:29:05	1	1	1	0"
"20	2010-04-27","18:29:14	1	1	1	0"
"9106	2010-04-27","18:33:08	1	1	1	0"
"7086	2010-04-27","18:33:13	1	1	1	0"
"9014	2010-04-27","18:33:17	1	1	1	0"
"6081	2010-04-27","19:05:42	1	1	1	0"
"8102	2010-04-27","20:08:48	1	1	1	0"
"6068	2010-04-27","21:08:15	1	1	1	0"
"9016	2010-04-28","07:59:48	1	0	1	0"
"6071	2010-04-28","08:14:31	1	0	1	0"
"9104	2010-04-28","08:21:07	1	0	1	0"
"2052	2010-04-28","08:34:16	1	0	1	0"
"6082	2010-04-28","08:35:03	1	0	1	0"
"6083	2010-04-28","08:35:28	1	0	1	0"
"8094	2010-04-28","08:35:32	1	0	1	0"
"9110	2010-04-28","08:37:34	1	0	1	0"
"9111	2010-04-28","08:39:19	1	0	1	0"
"6081	2010-04-28","08:39:31	1	0	1	0"
"8098	2010-04-28","08:41:43	1	0	1	0"
"29	2010-04-28","08:42:25	1	0	1	0"
"6075	2010-04-28","08:42:34	1	0	1	0"
"9014	2010-04-28","08:44:50	1	0	1	0"
"27	2010-04-28","08:49:13	1	0	1	0"
"6080	2010-04-28","08:52:22	1	0	1	0"
"9105	2010-04-28","08:53:18	1	0	1	0"
"8101	2010-04-28","08:55:50	1	0	1	0"
"9109	2010-04-28","09:00:46	1	0	1	0"
"5066	2010-04-28","09:01:59	1	0	1	0"
"9103	2010-04-28","09:10:35	1	0	1	0"
"20	2010-04-28","09:15:31	1	0	1	0"
"8098	2010-04-28","09:28:22	1	1	1	0"
"6068	2010-04-28","09:43:32	1	0	1	0"
"8102	2010-04-28","09:58:29	1	0	1	0"
"9016	2010-04-28","11:07:06	1	2	1	0"
"9016	2010-04-28","11:59:23	1	3	1	0"
"9014	2010-04-28","12:05:26	1	2	1	0"
"6082	2010-04-28","12:07:46	1	2	1	0"
"8094	2010-04-28","12:07:58	1	2	1	0"
"8101	2010-04-28","12:11:10	1	2	1	0"
"2052	2010-04-28","12:11:18	1	2	1	0"
"20	2010-04-28","12:20:50	1	2	1	0"
"27	2010-04-28","12:21:08	1	2	1	0"
"6068	2010-04-28","12:21:24	1	0	1	0"
"6068	2010-04-28","12:21:33	1	2	1	0"
"6081	2010-04-28","12:21:40	1	2	1	0"
"8102	2010-04-28","12:21:44	1	2	1	0"
"9111	2010-04-28","12:21:47	1	2	1	0"
"6083	2010-04-28","12:21:50	1	2	1	0"
"2052	2010-04-28","12:29:23	1	3	1	0"
"9014	2010-04-28","12:33:55	1	3	1	0"
"9111	2010-04-28","12:51:57	1	3	1	0"
"6083	2010-04-28","12:52:00	1	3	1	0"
"27	2010-04-28","12:52:48	1	3	1	0"
"20	2010-04-28","12:53:24	1	3	1	0"
"6081	2010-04-28","12:53:31	1	3	1	0"
"8102	2010-04-28","12:54:00	1	3	1	0"
"6068	2010-04-28","12:55:51	1	3	1	0"
"6082	2010-04-28","12:55:57	1	3	1	0"
